run,variant,best_score_a
1,regular,4.277032216389974
2,regular,2.6187637646993003
3,regular,3.740647315979004
4,regular,3.614566167195638
5,regular,3.3275489807128906
6,regular,4.082346280415853
7,regular,5.298936208089192
8,regular,13.283194859822592
9,regular,4.1486466725667315
10,regular,2.674783706665039
1,islands,3.9352296193440757
2,islands,8.951727151870728
3,islands,3.659748077392578
4,islands,2.9248574574788413
5,islands,5.012497266133626
6,islands,3.062117417653402
7,islands,3.6234169006347656
8,islands,5.569786389668782
9,islands,3.097410519917806
10,islands,14.3
